ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2020;REGIÃO NORDESTE;BA;ETANOL;2909505;CRAVOLANDIA;76000
2020;REGIÃO NORDESTE;BA;ETANOL;2909604;CRISOPOLIS;117000
2020;REGIÃO NORDESTE;BA;ETANOL;2909703;CRISTOPOLIS;445700
2020;REGIÃO NORDESTE;BA;ETANOL;2909802;CRUZ DAS ALMAS;1950500
2020;REGIÃO NORDESTE;BA;ETANOL;2909901;CURACA;210000
2020;REGIÃO NORDESTE;BA;ETANOL;2910008;DARIO MEIRA;95000
2020;REGIÃO NORDESTE;BA;ETANOL;2910057;DIAS D'AVILA;2790500
2020;REGIÃO NORDESTE;BA;ETANOL;2910107;DOM BASILIO;211000
2020;REGIÃO NORDESTE;BA;ETANOL;2910305;ELISIO MEDRADO;92000
2020;REGIÃO NORDESTE;BA;ETANOL;2910404;ENCRUZILHADA;494000
2020;REGIÃO NORDESTE;BA;ETANOL;2910503;ENTRE RIOS;1595500
2020;REGIÃO NORDESTE;BA;ETANOL;2910602;ESPLANADA;1119000
2020;REGIÃO NORDESTE;BA;ETANOL;2910701;EUCLIDES DA CUNHA;952500
2020;REGIÃO NORDESTE;BA;ETANOL;2910727;EUNAPOLIS;4733001
2020;REGIÃO NORDESTE;BA;ETANOL;2910750;FATIMA;83000
2020;REGIÃO NORDESTE;BA;ETANOL;2910776;FEIRA DA MATA;120000
2020;REGIÃO NORDESTE;BA;ETANOL;2910800;FEIRA DE SANTANA;36575159
2020;REGIÃO NORDESTE;BA;ETANOL;2910859;FILADELFIA;225000
2020;REGIÃO NORDESTE;BA;ETANOL;2910909;FIRMINO ALVES;73000
2020;REGIÃO NORDESTE;BA;ETANOL;2911006;FLORESTA AZUL;90000
2020;REGIÃO NORDESTE;BA;ETANOL;2911105;FORMOSA DO RIO PRETO;594000
2020;REGIÃO NORDESTE;BA;ETANOL;2911204;GANDU;892500
2020;REGIÃO NORDESTE;BA;ETANOL;2911253;GAVIAO;109500
2020;REGIÃO NORDESTE;BA;ETANOL;2911303;GENTIO DO OURO;40000
2020;REGIÃO NORDESTE;BA;ETANOL;2911402;GLORIA;61000
2020;REGIÃO NORDESTE;BA;ETANOL;2911501;GONGOGI;66000
2020;REGIÃO NORDESTE;BA;ETANOL;2911600;GOVERNADOR MANGABEIRA;1210500
2020;REGIÃO NORDESTE;BA;ETANOL;2911659;GUAJERU;70000
2020;REGIÃO NORDESTE;BA;ETANOL;2911709;GUANAMBI;5640000
2020;REGIÃO NORDESTE;BA;ETANOL;2911808;GUARATINGA;132001
2020;REGIÃO NORDESTE;BA;ETANOL;2911857;HELIOPOLIS;63000
2020;REGIÃO NORDESTE;BA;ETANOL;2911907;IACU;292000
2020;REGIÃO NORDESTE;BA;ETANOL;2912004;IBIASSUCE;192000
2020;REGIÃO NORDESTE;BA;ETANOL;2912103;IBICARAI;396000
2020;REGIÃO NORDESTE;BA;ETANOL;2912202;IBICOARA;293000
2020;REGIÃO NORDESTE;BA;ETANOL;2912301;IBICUI;160000
2020;REGIÃO NORDESTE;BA;ETANOL;2912400;IBIPEBA;52500
2020;REGIÃO NORDESTE;BA;ETANOL;2912509;IBIPITANGA;184000
2020;REGIÃO NORDESTE;BA;ETANOL;2912707;IBIRAPITANGA;490000
2020;REGIÃO NORDESTE;BA;ETANOL;2912806;IBIRAPUA;290501
2020;REGIÃO NORDESTE;BA;ETANOL;2912905;IBIRATAIA;264000
2020;REGIÃO NORDESTE;BA;ETANOL;2913002;IBITIARA;164000
2020;REGIÃO NORDESTE;BA;ETANOL;2913101;IBITITA;99500
2020;REGIÃO NORDESTE;BA;ETANOL;2913200;IBOTIRAMA;1135000
2020;REGIÃO NORDESTE;BA;ETANOL;2913309;ICHU;72000
2020;REGIÃO NORDESTE;BA;ETANOL;2913408;IGAPORA;346000
2020;REGIÃO NORDESTE;BA;ETANOL;2913457;IGRAPIUNA;54000
2020;REGIÃO NORDESTE;BA;ETANOL;2913507;IGUAI;248000
2020;REGIÃO NORDESTE;BA;ETANOL;2913606;ILHEUS;7175001
2020;REGIÃO NORDESTE;BA;ETANOL;2913705;INHAMBUPE;849000
2020;REGIÃO NORDESTE;BA;ETANOL;2913804;IPECAETA;97000
2020;REGIÃO NORDESTE;BA;ETANOL;2913903;IPIAU;1096000
2020;REGIÃO NORDESTE;BA;ETANOL;2914000;IPIRA;1038500
2020;REGIÃO NORDESTE;BA;ETANOL;2914109;IPUPIARA;184500
2020;REGIÃO NORDESTE;BA;ETANOL;2914307;IRAMAIA;183500
2020;REGIÃO NORDESTE;BA;ETANOL;2914406;IRAQUARA;361000
2020;REGIÃO NORDESTE;BA;ETANOL;2914505;IRARA;577000
2020;REGIÃO NORDESTE;BA;ETANOL;2914604;IRECE;2615000
2020;REGIÃO NORDESTE;BA;ETANOL;2914653;ITABELA;605000
2020;REGIÃO NORDESTE;BA;ETANOL;2914703;ITABERABA;1639000
2020;REGIÃO NORDESTE;BA;ETANOL;2914802;ITABUNA;6914000
2020;REGIÃO NORDESTE;BA;ETANOL;2914901;ITACARE;641000
2020;REGIÃO NORDESTE;BA;ETANOL;2915007;ITAETE;114000
2020;REGIÃO NORDESTE;BA;ETANOL;2915106;ITAGI;151000
2020;REGIÃO NORDESTE;BA;ETANOL;2915205;ITAGIBA;264000
2020;REGIÃO NORDESTE;BA;ETANOL;2915304;ITAGIMIRIM;689500
2020;REGIÃO NORDESTE;BA;ETANOL;2915353;ITAGUACU DA BAHIA;128500
2020;REGIÃO NORDESTE;BA;ETANOL;2915502;ITAJUIPE;180000
2020;REGIÃO NORDESTE;BA;ETANOL;2915601;ITAMARAJU;2832001
2020;REGIÃO NORDESTE;BA;ETANOL;2915700;ITAMARI;160000
2020;REGIÃO NORDESTE;BA;ETANOL;2915809;ITAMBE;1072000
2020;REGIÃO NORDESTE;BA;ETANOL;2916005;ITANHEM;333000
2020;REGIÃO NORDESTE;BA;ETANOL;2916104;ITAPARICA;945500
2020;REGIÃO NORDESTE;BA;ETANOL;2916203;ITAPE;362000
2020;REGIÃO NORDESTE;BA;ETANOL;2916302;ITAPEBI;115000
2020;REGIÃO NORDESTE;BA;ETANOL;2916401;ITAPETINGA;2506500
2020;REGIÃO NORDESTE;BA;ETANOL;2916500;ITAPICURU;259000
2020;REGIÃO NORDESTE;BA;ETANOL;2916609;ITAPITANGA;65000
2020;REGIÃO NORDESTE;BA;ETANOL;2916708;ITAQUARA;130000
2020;REGIÃO NORDESTE;BA;ETANOL;2916807;ITARANTIM;316000
2020;REGIÃO NORDESTE;BA;ETANOL;2916856;ITATIM;394000
2020;REGIÃO NORDESTE;BA;ETANOL;2916906;ITIRUCU;168000
2020;REGIÃO NORDESTE;BA;ETANOL;2917003;ITIUBA;341000
2020;REGIÃO NORDESTE;BA;ETANOL;2917102;ITORORO;209000
2020;REGIÃO NORDESTE;BA;ETANOL;2917201;ITUACU;151000
2020;REGIÃO NORDESTE;BA;ETANOL;2917300;ITUBERA;357500
2020;REGIÃO NORDESTE;BA;ETANOL;2917334;IUIU;155000
2020;REGIÃO NORDESTE;BA;ETANOL;2917359;JABORANDI;120000
2020;REGIÃO NORDESTE;BA;ETANOL;2917409;JACARACI;197000
2020;REGIÃO NORDESTE;BA;ETANOL;2917508;JACOBINA;2499500
2020;REGIÃO NORDESTE;BA;ETANOL;2917607;JAGUAQUARA;1629000
2020;REGIÃO NORDESTE;BA;ETANOL;2917706;JAGUARARI;863500
2020;REGIÃO NORDESTE;BA;ETANOL;2917805;JAGUARIPE;195000
2020;REGIÃO NORDESTE;BA;ETANOL;2918001;JEQUIE;6139000
2020;REGIÃO NORDESTE;BA;ETANOL;2918100;JEREMOABO;557000
2020;REGIÃO NORDESTE;BA;ETANOL;2918209;JEQUIRICA;251000
2020;REGIÃO NORDESTE;BA;ETANOL;2918308;JITAUNA;237000
2020;REGIÃO NORDESTE;BA;ETANOL;2918357;JOAO DOURADO;526500
2020;REGIÃO NORDESTE;BA;ETANOL;2918407;JUAZEIRO;5053300
2020;REGIÃO NORDESTE;BA;ETANOL;2918456;JUCURUCU;60000
2020;REGIÃO NORDESTE;BA;ETANOL;2918506;JUSSARA;44000
2020;REGIÃO NORDESTE;BA;ETANOL;2918555;JUSSARI;4000
2020;REGIÃO NORDESTE;BA;ETANOL;2918605;JUSSIAPE;77000
2020;REGIÃO NORDESTE;BA;ETANOL;2918753;LAGOA REAL;202000
2020;REGIÃO NORDESTE;BA;ETANOL;2918803;LAJE;577000
2020;REGIÃO NORDESTE;BA;ETANOL;2918902;LAJEDAO;177500
